# timestamp tx ty tz qx qy qz qw
1679941052.408000 -46.697316 2.971976 47.907611 0.002401 0.860438 0.020161 0.509150
1679941052.508000 -45.708122 2.864785 48.007641 -0.002072 0.863540 0.015236 0.504045
1679941052.643000 -46.663928 3.007929 47.750842 -0.002718 0.866212 0.012743 0.499508
1679941052.740000 -47.544686 3.280423 47.363529 -0.003755 0.865249 0.011204 0.501203
1679941053.074000 -47.283686 3.184030 48.324043 0.002987 0.869580 0.016529 0.493507
1679941053.340000 -48.092853 2.989324 48.878423 0.005455 0.871400 0.019273 0.490163
1679941053.375000 -47.131528 2.718096 48.830570 0.003709 0.872951 0.019153 0.487417
1679941053.409000 -46.748020 2.872803 49.741057 0.004517 0.877180 0.017873 0.479807
1679941053.608000 -47.588660 3.283303 49.387767 0.012323 0.867361 0.015973 0.497270
1679941053.641000 -48.324656 3.402933 50.054099 0.016227 0.866135 0.015363 0.499311
1679941053.707000 -48.932529 3.420321 50.847943 0.020642 0.864922 0.014342 0.501276
1679941053.774000 -49.732361 3.398987 51.447787 0.024297 0.862162 0.014706 0.505836
1679941053.807000 -50.498873 3.394201 52.090000 0.027411 0.860845 0.014231 0.507929
1679941053.875000 -49.592449 3.347096 51.670265 0.029764 0.860163 0.014045 0.508957
1679941053.975000 -50.396488 3.462562 52.253522 0.035150 0.854053 0.016626 0.518730
1679941054.008000 -49.647481 3.284306 51.615389 0.035666 0.851602 0.018345 0.522652
1679941054.074000 -50.602321 3.385362 51.894798 0.035840 0.849640 0.019522 0.525781
1679941054.111000 -49.729937 3.227936 51.432021 0.035113 0.847488 0.020392 0.529260
1679941054.174000 -49.985994 3.456609 50.492796 0.032227 0.838123 0.016760 0.544271
1679941054.275000 -50.980855 3.528542 50.564048 0.029601 0.837021 0.016426 0.546123
1679941054.374000 -51.797624 3.676201 51.121798 0.030022 0.831988 0.014306 0.553795
1679941054.508000 -50.986427 3.480537 50.570730 0.032229 0.826729 0.015480 0.561462
1679941054.540000 -51.357283 2.892012 49.852326 0.029995 0.818189 0.023231 0.573696
1679941054.707000 -50.712048 2.845350 49.089768 0.034109 0.804782 0.029436 0.591858
1679941054.740000 -49.887389 2.940076 48.532127 0.031973 0.803075 0.027616 0.594378
1679941054.807000 -48.946465 2.810290 48.844886 0.028988 0.796285 0.023072 0.603786
1679941054.874000 -49.911431 2.734498 49.096077 0.027279 0.789673 0.013170 0.612780
1679941054.943000 -50.898481 2.764491 49.253658 0.025048 0.781250 0.005660 0.623690
1679941055.075000 -51.857650 2.836311 49.527221 0.019637 0.775462 0.000999 0.631089
1679941055.141000 -52.747275 3.102450 49.898352 0.017138 0.773193 0.000775 0.633939
1679941055.307000 -52.052710 2.721787 49.287880 0.013564 0.764417 0.003542 0.644569
1679941055.440000 -52.028121 2.646842 48.290996 0.011888 0.745159 0.002579 0.666776
1679941055.507000 -52.419381 2.537191 47.377272 0.007388 0.734434 0.005185 0.678620
1679941055.608000 -51.451382 2.323818 47.245173 0.002262 0.729234 0.003832 0.684250
1679941055.675000 -52.440618 2.469459 47.259349 -0.002749 0.722531 0.002416 0.691329
1679941055.841000 -52.351561 1.992419 46.384991 -0.019914 0.692832 0.010965 0.720741
1679941055.944000 -52.188472 1.609221 45.475836 -0.028406 0.675322 0.011860 0.736880
1679941056.075000 -51.263890 1.526007 45.847621 -0.029716 0.661346 0.015725 0.749327
1679941056.111000 -52.223822 1.408283 45.593314 -0.029316 0.658505 0.015795 0.751839
1679941056.207000 -51.255066 1.167426 45.652478 -0.025896 0.647964 0.022950 0.760884
1679941056.308000 -50.282151 0.936381 45.645151 -0.029722 0.642010 0.025211 0.765705
1679941056.374000 -51.228219 1.066906 45.348642 -0.032409 0.638280 0.023583 0.768760
1679941056.541000 -52.192558 1.294510 45.213564 -0.032246 0.636895 0.023339 0.769922
1679941056.709000 -53.100225 1.438033 44.819175 -0.028957 0.633628 0.021292 0.772802
1679941056.808000 -52.106291 1.390131 44.720169 -0.021132 0.632010 0.017405 0.774477
1679941056.940000 -52.024689 2.081147 44.001951 -0.007041 0.623922 0.017563 0.781257
1679941056.975000 -51.042861 1.914095 43.911904 -0.007022 0.622126 0.018599 0.782664
1679941057.008000 -50.113701 1.632273 44.151147 -0.006003 0.619636 0.021757 0.784565
1679941057.108000 -49.813297 1.628180 45.104950 -0.001450 0.618821 0.028407 0.785017
1679941057.243000 -50.772172 1.908779 45.147638 -0.000294 0.616779 0.018032 0.786930
1679941057.342000 -51.694470 2.063504 45.501795 -0.001704 0.615708 0.011354 0.787890
1679941057.409000 -50.707820 1.935170 45.401534 -0.005757 0.612401 0.006310 0.790501
1679941057.474000 -50.314737 2.044081 46.314565 -0.005658 0.615627 0.004722 0.788004
1679941057.541000 -49.345855 1.798075 46.287192 -0.007782 0.609951 0.006289 0.792376
1679941057.642000 -48.453276 1.433784 46.552889 -0.009804 0.602707 0.016553 0.797730
1679941057.708000 -47.482002 1.199900 46.508998 -0.012805 0.596755 0.024402 0.801950
1679941057.809000 -47.214633 0.455081 45.897640 -0.020464 0.584226 0.034303 0.810607
1679941057.842000 -46.279393 0.214978 46.157787 -0.021327 0.582085 0.033622 0.812153
1679941057.910000 -47.227213 0.198742 45.839395 -0.020992 0.580082 0.032723 0.813630
1679941058.275000 -48.196451 0.131751 45.602562 -0.019324 0.583069 0.036795 0.811359
1679941058.406000 -49.183467 0.008420 45.499667 -0.013380 0.588845 0.040967 0.807096
1679941058.441000 -49.233515 0.652932 46.262621 -0.005166 0.596191 0.038872 0.801885
1679941058.573000 -50.228272 0.754524 46.250904 -0.002954 0.596946 0.042535 0.801147
1679941058.640000 -50.509381 -0.187432 46.067338 -0.009514 0.595797 0.052101 0.801387
1679941058.707000 -49.530814 -0.379901 46.140561 -0.010116 0.597131 0.050772 0.800471
1679941058.740000 -50.437140 -0.097447 45.826249 -0.012169 0.598748 0.049137 0.799336
1679941058.774000 -51.396276 -0.160635 45.550451 -0.014543 0.600223 0.049002 0.798198
1679941058.841000 -51.219671 0.432117 46.336234 -0.010430 0.608470 0.047781 0.792069
1679941058.875000 -50.271521 0.171059 46.517508 -0.013292 0.609655 0.045856 0.791228
1679941059.008000 -49.354529 0.107520 46.911320 -0.013292 0.609655 0.045856 0.791228
1679941059.073000 -48.405383 -0.129092 47.119015 -0.015991 0.610889 0.045063 0.790271
1679941059.376000 -47.425521 -0.126917 46.919352 -0.022962 0.606365 0.046591 0.793488
1679941059.540000 -47.777307 -0.434719 47.803380 -0.025027 0.633651 0.044193 0.771950
1679941059.640000 -48.727480 -0.276997 47.534504 -0.025216 0.634674 0.044081 0.771109
1679941059.707000 -49.725803 -0.254635 47.587902 -0.022162 0.635997 0.044970 0.770061
1679941059.775000 -48.964887 -0.391243 46.953596 -0.020094 0.637177 0.046657 0.769042
1679941059.842000 -48.003764 -0.618119 47.110977 -0.018017 0.639470 0.052555 0.766806
1679941059.908000 -48.970649 -0.389302 46.997953 -0.018049 0.640353 0.056560 0.765783
1679941059.944000 -47.977439 -0.462621 46.907628 -0.017331 0.641454 0.058827 0.764706
1679941060.009000 -47.034686 -0.400916 47.235359 -0.016066 0.643300 0.062027 0.762928
1679941060.107000 -47.316311 -0.381726 46.276026 -0.018377 0.640113 0.055061 0.766085
1679941060.141000 -48.304345 -0.292421 46.150270 -0.020187 0.643807 0.050108 0.763279
1679941060.274000 -48.371978 0.161293 47.038847 -0.011595 0.670522 0.030694 0.741164
1679941060.342000 -49.319178 -0.073703 47.256994 -0.009186 0.674197 0.027502 0.737982
1679941060.474000 -50.306886 -0.068385 47.413218 -0.010135 0.672458 0.021210 0.739762
1679941060.676000 -50.274376 -0.443902 46.486973 -0.025016 0.644932 0.046508 0.762414
1679941060.808000 -51.255722 -0.617528 46.569511 -0.027505 0.644579 0.032938 0.763333
1679941060.909000 -51.459763 -0.630944 47.548381 -0.021311 0.672252 0.020662 0.739727
1679941060.974000 -52.414543 -0.520193 47.824296 -0.021519 0.672528 0.019039 0.739514
1679941061.108000 -53.414218 -0.538330 47.842211 -0.023998 0.671751 0.019314 0.740137
1679941061.141000 -52.424123 -0.675621 47.812816 -0.023857 0.672029 0.022300 0.739804
1679941061.176000 -51.507703 -1.064807 47.719498 -0.024825 0.672800 0.024744 0.738994
1679941061.307000 -52.465470 -0.812466 47.581634 -0.022708 0.672000 0.029572 0.739612
1679941061.341000 -51.508397 -0.728227 47.858970 -0.022704 0.672835 0.032668 0.738722
1679941061.507000 -52.441877 -0.477320 47.602724 -0.021534 0.674008 0.038417 0.737410
1679941061.607000 -52.435469 -0.434842 48.601801 -0.019175 0.687527 0.039603 0.724824
1679941061.707000 -53.411892 -0.469290 48.814904 -0.019258 0.691307 0.031671 0.721610
1679941061.908000 -54.384752 -0.365870 49.021898 -0.011713 0.690991 0.022814 0.722408
